x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3693.0,1.0,0.0,0.941503554638587,51.0,39.0,92.0,132.0,546.0,870.0,858.0,621.0,260.0,224.0
3737.0,1.0,0.0,0.991094886175754,29.0,52.0,43.0,84.0,286.0,760.0,948.0,767.0,322.0,446.0
3757.0,1.0,0.0,0.98986341724221,42.0,48.0,37.0,78.0,317.0,777.0,978.0,764.0,329.0,387.0
3759.0,2.0,0.0005320563979781857,0.993072277360266,45.0,53.0,46.0,81.0,366.0,763.0,995.0,767.0,300.0,343.0
3724.0,1.0,0.0,0.995822513124702,40.0,77.0,62.0,167.0,522.0,949.0,973.0,592.0,184.0,158.0
3691.0,1.0,0.0,0.997800148214038,42.0,87.0,97.0,245.0,724.0,1033.0,886.0,410.0,83.0,84.0
3663.0,1.0,0.0,0.998517263938956,70.0,81.0,193.0,344.0,920.0,1030.0,710.0,215.0,43.0,57.0
3675.0,1.0,0.0,0.997506436980566,66.0,84.0,178.0,312.0,901.0,1037.0,731.0,237.0,64.0,65.0
3669.0,1.0,0.0,0.994094258407543,61.0,66.0,125.0,265.0,707.0,1034.0,791.0,388.0,120.0,112.0
3667.0,1.0,0.0,0.986999639390704,59.0,48.0,89.0,220.0,577.0,939.0,858.0,546.0,148.0,183.0
3631.0,1.0,0.0,0.977024723642131,30.0,61.0,69.0,108.0,397.0,841.0,1012.0,624.0,240.0,249.0
3576.0,1.0,0.0,0.966895847237663,9.0,71.0,42.0,79.0,299.0,713.0,1096.0,743.0,271.0,253.0
3516.0,1.0,0.0,0.958653229825585,9.0,61.0,44.0,74.0,304.0,706.0,1072.0,771.0,258.0,217.0
3457.0,1.0,0.0,0.952921432912716,18.0,53.0,59.0,114.0,355.0,811.0,1012.0,680.0,210.0,145.0
3433.0,1.0,0.0,0.949548406212204,33.0,50.0,87.0,177.0,529.0,836.0,932.0,529.0,136.0,124.0
3421.0,2.0,0.0005846243788365975,0.948500516762992,36.0,50.0,133.0,208.0,609.0,908.0,820.0,429.0,117.0,111.0
3454.0,1.0,0.0,0.950093583014257,35.0,48.0,130.0,210.0,613.0,929.0,813.0,429.0,122.0,125.0
3515.0,1.0,0.0,0.931517454604837,31.0,45.0,131.0,252.0,640.0,1003.0,804.0,392.0,108.0,109.0
3572.0,1.0,0.0,0.869531095604472,25.0,44.0,143.0,303.0,837.0,1141.0,699.0,262.0,60.0,58.0
3636.0,1.0,0.0,0.859193547449733,23.0,34.0,94.0,293.0,775.0,1219.0,777.0,300.0,65.0,56.0
3657.0,1.0,0.0,0.926218715966911,21.0,23.0,61.0,164.0,464.0,983.0,1046.0,573.0,177.0,145.0
3635.0,2.0,0.0005502063273727648,0.970030769130973,21.0,18.0,33.0,67.0,244.0,601.0,1073.0,892.0,361.0,325.0
