x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
3567.0,1.0,0.0,1.0,80.0,79.0,125.0,305.0,214.0,448.0,378.0,504.0,478.0,296.0,290.0,112.0,98.0,160.0
3636.0,1.0,0.0,1.0,84.0,102.0,207.0,324.0,294.0,470.0,391.0,525.0,475.0,277.0,213.0,72.0,93.0,109.0
3648.0,1.0,0.0,1.0,59.0,106.0,178.0,318.0,299.0,464.0,433.0,502.0,482.0,299.0,229.0,84.0,79.0,116.0
3624.0,2.0,0.0005518763796909492,1.0,46.0,86.0,130.0,284.0,246.0,466.0,414.0,524.0,506.0,293.0,301.0,107.0,75.0,146.0
3602.0,1.0,0.0,1.0,23.0,45.0,67.0,121.0,170.0,364.0,382.0,548.0,529.0,417.0,374.0,199.0,179.0,184.0
3577.0,1.0,0.0,1.0,9.0,28.0,47.0,64.0,77.0,251.0,298.0,531.0,565.0,438.0,525.0,247.0,254.0,243.0
3562.0,3.0,0.0008422234699606962,1.0,7.0,18.0,39.0,40.0,44.0,123.0,193.0,435.0,545.0,441.0,585.0,373.0,360.0,359.0
3552.0,1.0,0.0,1.0,8.0,26.0,35.0,60.0,51.0,141.0,226.0,413.0,533.0,470.0,567.0,350.0,334.0,338.0
3581.0,1.0,0.0,1.0,23.0,33.0,51.0,91.0,89.0,260.0,285.0,464.0,600.0,428.0,493.0,246.0,272.0,246.0
3569.0,1.0,0.0,1.0,40.0,43.0,90.0,151.0,186.0,350.0,382.0,573.0,523.0,377.0,354.0,158.0,162.0,180.0
3527.0,1.0,0.0,1.0,45.0,72.0,112.0,229.0,231.0,406.0,415.0,595.0,527.0,284.0,257.0,118.0,91.0,145.0
3471.0,1.0,0.0,1.0,40.0,75.0,107.0,252.0,243.0,452.0,438.0,603.0,507.0,235.0,218.0,98.0,81.0,122.0
3423.0,1.0,0.0,1.0,35.0,56.0,85.0,234.0,229.0,491.0,421.0,573.0,505.0,255.0,223.0,107.0,85.0,124.0
3357.0,1.0,0.0,1.0,22.0,48.0,73.0,173.0,196.0,417.0,375.0,570.0,498.0,328.0,267.0,132.0,116.0,142.0
3320.0,1.0,0.0,1.0,21.0,40.0,61.0,114.0,160.0,306.0,347.0,549.0,521.0,333.0,346.0,171.0,174.0,177.0
3314.0,1.0,0.0,1.0,22.0,37.0,52.0,97.0,134.0,271.0,273.0,528.0,524.0,350.0,382.0,221.0,211.0,212.0
3331.0,1.0,0.0,1.0,26.0,40.0,58.0,112.0,135.0,270.0,291.0,517.0,555.0,348.0,363.0,206.0,211.0,199.0
3391.0,1.0,0.0,1.0,42.0,43.0,67.0,145.0,149.0,326.0,306.0,549.0,553.0,348.0,338.0,165.0,216.0,144.0
3463.0,1.0,0.0,1.0,17.0,34.0,38.0,97.0,92.0,218.0,292.0,457.0,610.0,450.0,469.0,228.0,274.0,187.0
3519.0,1.0,0.0,1.0,17.0,33.0,38.0,94.0,93.0,209.0,307.0,472.0,618.0,488.0,488.0,215.0,283.0,164.0
3538.0,1.0,0.0,1.0,47.0,40.0,90.0,175.0,184.0,396.0,372.0,584.0,582.0,344.0,289.0,181.0,145.0,109.0
3513.0,1.0,0.0,1.0,58.0,73.0,177.0,374.0,338.0,610.0,489.0,547.0,326.0,210.0,137.0,64.0,61.0,49.0
