x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
8.814722947651062e-10,2.167808695702409e-9,3.6162445080403826e-9,5.870534324566904e-9,7.849701682664291e-9,1.1406930248066926e-8,1.4858756168558734e-8,2.021459592790601e-8,2.67967964427106e-8,3.270519236275615e-8,4.212153623194544e-8,4.984792603236341e-8,6.519541595267006e-8,2.7282778697215433e-7
2.167808695702409e-9,5.987164928668561e-9,1.0663665600047554e-8,1.834054576072487e-8,2.5317809169824062e-8,3.819737735545233e-8,5.0967287015241654e-8,7.111836935138718e-8,9.624715397660495e-8,1.1902969263260212e-7,1.556365246782675e-7,1.858694614920016e-7,2.4628579811907575e-7,1.1252983228704211e-6
3.6162445080403826e-9,1.0663665600047554e-8,1.977549346962239e-8,3.530860561456333e-8,4.9780695023806e-8,7.701168345106994e-8,1.0442718785876248e-7,1.4820684236930992e-7,2.0335750541001984e-7,2.5370295508485865e-7,3.350485566856984e-7,4.025255765133408e-7,5.379128136839178e-7,2.5986853118006596e-6
5.870534324566904e-9,1.834054576072487e-8,3.530860561456333e-8,6.543113729578592e-8,9.432414284786848e-8,1.4997812126998186e-7,2.0707914714603812e-7,2.9961970465926805e-7,4.1766698165622974e-7,5.263400760393113e-7,7.031219104406783e-7,8.505442327798932e-7,1.147771040295648e-6,5.9094204803219245e-6
7.849701682664291e-9,2.5317809169824062e-8,4.9780695023806e-8,9.432414284786848e-8,1.379336396479377e-7,2.2344611944781148e-7,3.1248625009967986e-7,4.5847854428965274e-7,6.465579509911509e-7,8.208470994899707e-7,1.105866688774531e-6,1.3445276042874643e-6,1.8275009722964437e-6,9.859066664634669e-6
1.1406930248066926e-8,3.819737735545233e-8,7.701168345106994e-8,1.4997812126998186e-7,2.2344611944781148e-7,3.713862118222665e-7,5.28996097523097e-7,7.922117741810089e-7,1.1366345290901657e-6,1.4591231254568774e-6,1.9908465458968053e-6,2.4389193466865703e-6,3.350885721461131e-6,1.9366422472274846e-5
1.4858756168558734e-8,5.0967287015241654e-8,1.0442718785876248e-7,2.0707914714603812e-7,3.1248625009967986e-7,5.28996097523097e-7,7.63856935716737e-7,1.1620234162617458e-6,1.689760839689344e-6,2.1881043484995664e-6,3.01530457910791e-6,3.7159642893171885e-6,5.14862437229625e-6,3.1382075544616365e-5
2.021459592790601e-8,7.111836935138718e-8,1.4820684236930992e-7,2.9961970465926805e-7,4.5847854428965274e-7,7.922117741810089e-7,1.1620234162617458e-6,1.8007341704495526e-6,2.6611405859023446e-6,3.482435055665822e-6,4.857324402861108e-6,6.029467175065617e-6,8.44012751326707e-6,5.4856475844679616e-5
2.67967964427106e-8,9.624715397660495e-8,2.0335750541001984e-7,4.1766698165622974e-7,6.465579509911509e-7,1.1366345290901657e-6,1.689760839689344e-6,2.6611405859023446e-6,3.989583693470207e-6,5.270672228841404e-6,7.432692415212819e-6,9.287299228434322e-6,1.3122628277882633e-5,9.044609188102345e-5
3.270519236275615e-8,1.1902969263260212e-7,2.5370295508485865e-7,5.263400760393113e-7,8.208470994899707e-7,1.4591231254568774e-6,2.1881043484995664e-6,3.482435055665822e-6,5.270672228841404e-6,7.007397325543148e-6,9.955004159957359e-6,1.2494482020423563e-5,1.7766583465765522e-5,0.00012748102781379677
4.212153623194544e-8,1.556365246782675e-7,3.350485566856984e-7,7.031219104406783e-7,1.105866688774531e-6,1.9908465458968053e-6,3.01530457910791e-6,4.857324402861108e-6,7.432692415212819e-6,9.955004159957359e-6,1.4265379586100272e-5,1.7998681984531493e-5,2.578646395132239e-5,0.0001942420245598375
4.984792603236341e-8,1.858694614920016e-7,4.025255765133408e-7,8.505442327798932e-7,1.3445276042874643e-6,2.4389193466865703e-6,3.7159642893171885e-6,6.029467175065617e-6,9.287299228434322e-6,1.2494482020423563e-5,1.7998681984531493e-5,2.278194816650642e-5,3.2790514113593334e-5,0.0002546735431884545
6.519541595267006e-8,2.4628579811907575e-7,5.379128136839178e-7,1.147771040295648e-6,1.8275009722964437e-6,3.350885721461131e-6,5.14862437229625e-6,8.44012751326707e-6,1.3122628277882633e-5,1.7766583465765522e-5,2.578646395132239e-5,3.2790514113593334e-5,4.751330288293072e-5,0.0003862909688794363
2.7282778697215433e-7,1.1252983228704211e-6,2.5986853118006596e-6,5.9094204803219245e-6,9.859066664634669e-6,1.9366422472274846e-5,3.1382075544616365e-5,5.4856475844679616e-5,9.044609188102345e-5,0.00012748102781379677,0.0001942420245598375,0.0002546735431884545,0.0003862909688794363,0.00460477558258438
8.510143031802203e-10,2.1740632964149054e-9,3.665988601684365e-9,5.98844078002572e-9,8.029272634993755e-9,1.1704268945681388e-8,1.5281557938363413e-8,2.0857064699978568e-8,2.7751318427841378e-8,3.3975560520305186e-8,4.395164993382678e-8,5.217678263582453e-8,6.859039806556948e-8,3.032623414557138e-7
2.1740632964149054e-9,6.009940030210822e-9,1.0593251825290258e-8,1.800227635054716e-8,2.4678121080323952e-8,3.6939269891649746e-8,4.9070406632257744e-8,6.822722504642834e-8,9.219150290769574e-8,1.1400279538556817e-7,1.4919657752562506e-7,1.7836826433004655e-7,2.3686806138832425e-7,1.121570300322887e-6
3.665988601684365e-9,1.0593251825290258e-8,1.9209280254998938e-8,3.355886100280801e-8,4.6756980981382974e-8,7.139945463617457e-8,9.611430559299116e-8,1.355717681294818e-7,1.8540891559952148e-7,2.3107273101001209e-7,3.051596865349269e-7,3.668360208855443e-7,4.910108506850564e-7,2.4506966547533693e-6
5.98844078002572e-9,1.800227635054716e-8,3.355886100280801e-8,6.038792770421549e-8,8.571538751085696e-8,1.3403818049273668e-7,1.833834724177777e-7,2.6331706288178273e-7,3.655740198427169e-7,4.6009581496295693e-7,6.145574148449975e-7,7.438695074394709e-7,1.0055521926844375e-6,5.355289670973794e-6
