x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
1.1694778287482173e-19,9.385125635205139e-17,3.6900571674547465e-16,7.201269284661755e-16,9.869500500855521e-16,1.2075721225443987e-15,1.4230208763980249e-15,1.8138063944043682e-15,2.011089946928366e-15,2.4031496063313776e-15,2.8349387984180236e-15,3.0771677529151774e-15,3.65236209075811e-15,4.0275899470298366e-15,4.499441227941255e-15,5.171309128722205e-15,6.240859766884408e-15,2.984798161662231e-14
9.385125635205139e-17,2.1853384983639237e-10,1.8008186143762081e-9,4.425969267132186e-9,6.6280726643288004e-9,8.534994359446641e-9,1.045424864065712e-8,1.4046628643518744e-8,1.5904123380254045e-8,1.9665368635313236e-8,2.389573230938741e-8,2.630221842196815e-8,3.2095201549810904e-8,3.592434954494771e-8,4.07858720904195e-8,4.7782390727475957e-8,5.906203791658684e-8,3.535762594511039e-7
3.6900571674547465e-16,1.8008186143762081e-9,1.7433524156076967e-8,4.50978993219515e-8,6.886281332148395e-8,8.966789659996843e-8,1.1075522160773921e-7,1.5051247406956244e-7,1.7118163495157365e-7,2.1321200059873095e-7,2.607068154760654e-7,2.8780808828017153e-7,3.5324317510807413e-7,3.9661969512677756e-7,4.5180495084694567e-7,5.314071425946643e-7,6.60085302332963e-7,4.127425339405739e-6
7.201269284661755e-16,4.425969267132186e-9,4.50978993219515e-8,1.1881422057704809e-7,1.8277230918403924e-7,2.390312016878098e-7,2.9623086022900435e-7,4.04422984437871e-7,4.6080829110531023e-7,5.756870479878353e-7,7.057791576512414e-7,7.801163118645755e-7,9.598476151337153e-7,1.0791470551291936e-6,1.2310685131432836e-6,1.4504382372648708e-6,1.80549005296189e-6,1.150762528619364e-5
9.869500500855521e-16,6.6280726643288004e-9,6.886281332148395e-8,1.8277230918403924e-7,2.820659070649833e-7,3.696200436983682e-7,4.587862093476445e-7,6.277425383639402e-7,7.159162322246717e-7,8.957560650927435e-7,1.0996618692373108e-6,1.2162725425563774e-6,1.4984379244504617e-6,1.6858735782105035e-6,1.924695968325657e-6,2.2697608606278168e-6,2.8286574910681e-6,1.8225587483166948e-5
1.2075721225443987e-15,8.534994359446641e-9,8.966789659996843e-8,2.390312016878098e-7,3.696200436983682e-7,4.849655946617458e-7,6.025781489111053e-7,8.257373146611716e-7,9.423218411019075e-7,1.1803136954701858e-6,1.4504184570905455e-6,1.6049890771909534e-6,1.9792509268006125e-6,2.2280204765746566e-6,2.5451371224085246e-6,3.003559471034223e-6,3.7465055094302928e-6,2.435003171836419e-5
1.4230208763980249e-15,1.045424864065712e-8,1.1075522160773921e-7,2.9623086022900435e-7,4.587862093476445e-7,6.025781489111053e-7,7.493590482499144e-7,1.0282195083173866e-6,1.1740545456859864e-6,1.4720119499778912e-6,1.8105070889107065e-6,2.0043442211051577e-6,2.473994612086238e-6,2.7863697830186363e-6,3.1847549877084366e-6,3.760961403450032e-6,4.695375483135456e-6,3.078561277901013e-5
1.8138063944043682e-15,1.4046628643518744e-8,1.5051247406956244e-7,4.04422984437871e-7,6.277425383639402e-7,8.257373146611716e-7,1.0282195083173866e-6,1.4137680733780738e-6,1.6157769305058504e-6,2.029164512079651e-6,2.49967679594905e-6,2.7694597091526283e-6,3.423967771800503e-6,3.85984615152628e-6,4.4162563580423125e-6,5.221857766000316e-6,6.529880458590824e-6,4.3540742743674493e-5
2.011089946928366e-15,1.5904123380254045e-8,1.7118163495157365e-7,4.6080829110531023e-7,7.159162322246717e-7,9.423218411019075e-7,1.1740545456859864e-6,1.6157769305058504e-6,1.8474354986266067e-6,2.3218879458545804e-6,2.8624342712451943e-6,3.1725847885965405e-6,3.925548309471231e-6,4.427334799255148e-6,5.068199309029712e-6,5.9965989330389234e-6,7.50500901560052e-6,5.049131085721943e-5
2.4031496063313776e-15,1.9665368635313236e-8,2.1321200059873095e-7,5.756870479878353e-7,8.957560650927435e-7,1.1803136954701858e-6,1.4720119499778912e-6,2.029164512079651e-6,2.3218879458545804e-6,2.92238678211542e-6,3.6079076799962876e-6,4.001795648529274e-6,4.959438502287463e-6,5.598539013460539e-6,6.415642197982562e-6,7.600764365677702e-6,9.52901724765905e-6,6.531180009543515e-5
2.8349387984180236e-15,2.389573230938741e-8,2.607068154760654e-7,7.057791576512414e-7,1.0996618692373108e-6,1.4504184570905455e-6,1.8105070889107065e-6,2.49967679594905e-6,2.8624342712451943e-6,3.6079076799962876e-6,4.460827879818657e-6,4.951695568603737e-6,6.1471550602990766e-6,6.9463239966642594e-6,7.96938024690084e-6,9.455354244900766e-6,1.1877279369854861e-5,8.321394552569809e-5
3.0771677529151774e-15,2.630221842196815e-8,2.8780808828017153e-7,7.801163118645755e-7,1.2162725425563774e-6,1.6049890771909534e-6,2.0043442211051577e-6,2.7694597091526283e-6,3.1725847885965405e-6,4.001795648529274e-6,4.951695568603737e-6,5.498882409410754e-6,6.8328263510864605e-6,7.725468371044973e-6,8.869052654574415e-6,1.0531527553655716e-5,1.324394015312998e-5,9.399850704984477e-5
3.65236209075811e-15,3.2095201549810904e-8,3.5324317510807413e-7,9.598476151337153e-7,1.4984379244504617e-6,1.9792509268006125e-6,2.473994612086238e-6,3.423967771800503e-6,3.925548309471231e-6,4.959438502287463e-6,6.1471550602990766e-6,6.8328263510864605e-6,8.508398232225505e-6,9.632428003441147e-6,1.1075185576598334e-5,1.3177152225648493e-5,1.6615662945354425e-5,0.00012177399079482478
4.0275899470298366e-15,3.592434954494771e-8,3.9661969512677756e-7,1.0791470551291936e-6,1.6858735782105035e-6,2.2280204765746566e-6,2.7863697830186363e-6,3.85984615152628e-6,4.427334799255148e-6,5.598539013460539e-6,6.9463239966642594e-6,7.725468371044973e-6,9.632428003441147e-6,1.0913776198538107e-5,1.256056520240314e-5,1.4963343761728348e-5,1.890104450348284e-5,0.00014153229781807986
4.499441227941255e-15,4.07858720904195e-8,4.5180495084694567e-7,1.2310685131432836e-6,1.924695968325657e-6,2.5451371224085246e-6,3.1847549877084366e-6,4.4162563580423125e-6,5.068199309029712e-6,6.415642197982562e-6,7.96938024690084e-6,8.869052654574415e-6,1.1075185576598334e-5,1.256056520240314e-5,1.4472649662298356e-5,1.7267774151531348e-5,2.1859073786061173e-5,0.0001681732248748845
5.171309128722205e-15,4.7782390727475957e-8,5.314071425946643e-7,1.4504382372648708e-6,2.2697608606278168e-6,3.003559471034223e-6,3.760961403450032e-6,5.221857766000316e-6,5.9965989330389234e-6,7.600764365677702e-6,9.455354244900766e-6,1.0531527553655716e-5,1.3177152225648493e-5,1.4963343761728348e-5,1.7267774151531348e-5,2.0645350456022942e-5,2.6211641064269293e-5,0.00020939999422619647
6.240859766884408e-15,5.906203791658684e-8,6.60085302332963e-7,1.80549005296189e-6,2.8286574910681e-6,3.7465055094302928e-6,4.695375483135456e-6,6.529880458590824e-6,7.50500901560052e-6,9.52901724765905e-6,1.1877279369854861e-5,1.324394015312998e-5,1.6615662945354425e-5,1.890104450348284e-5,2.1859073786061173e-5,2.6211641064269293e-5,3.342033408029387e-5,0.0002822784597133732
2.984798161662231e-14,3.535762594511039e-7,4.127425339405739e-6,1.150762528619364e-5,1.8225587483166948e-5,2.435003171836419e-5,3.078561277901013e-5,4.3540742743674493e-5,5.049131085721943e-5,6.531180009543515e-5,8.321394552569809e-5,9.399850704984477e-5,0.00012177399079482478,0.00014153229781807986,0.0001681732248748845,0.00020939999422619647,0.0002822784597133732,0.004681371573456249
1.6768527732282643e-11,3.356397446934733e-10,9.45037878675096e-10,1.6302032711466093e-9,2.123998037092476e-9,2.5217752495700246e-9,2.9034527272503473e-9,3.5827709152139028e-9,3.9206047891678885e-9,4.583757961070853e-9,5.303575973164342e-9,5.703309309246906e-9,6.642643782521325e-9,7.248994639408127e-9,8.005424166284035e-9,9.072642772042265e-9,1.075239857380268e-8,4.150665157104572e-8
3.356397446934733e-10,1.2010139332639597e-8,3.9810421856995804e-8,7.373959466022075e-8,9.90938087415007e-8,1.1989123121089386e-7,1.4009335148985722e-7,1.765258680609137e-7,1.9483147760649922e-7,2.3105894890238012e-7,2.7074851990173925e-7,2.929268716166902e-7,3.453651767022629e-7,3.7941849996307366e-7,4.2208820183629313e-7,4.825890084697818e-7,5.783865029766244e-7,2.5227335271926964e-6
9.45037878675096e-10,3.9810421856995804e-8,1.4291116364029e-7,2.7585175047815075e-7,3.777527157675682e-7,4.6241974936780513e-7,5.453833281005549e-7,6.964051456934529e-7,7.728406210469271e-7,9.249843223506917e-7,1.0927603734104058e-6,1.1869232291568306e-6,1.410519765109678e-6,1.5563302995648163e-6,1.7395936275650691e-6,2.000331388836151e-6,2.414883157522408e-6,1.1378056189576436e-5
1.6302032711466093e-9,7.373959466022075e-8,2.7585175047815075e-7,5.451748725595045e-7,7.549629817340076e-7,9.30712086854203e-7,1.1038937436998705e-6,1.4210473000502937e-6,1.5823184916078113e-6,1.9045187775637332e-6,2.2613155486270957e-6,2.462124494832996e-6,2.9402686320788352e-6,3.252901853471033e-6,3.646599401885072e-6,4.2079455364524105e-6,5.102747843517851e-6,2.5185930186385966e-5
2.123998037092476e-9,9.90938087415007e-8,3.777527157675682e-7,7.549629817340076e-7,1.0511678845941809e-6,1.3003710608175474e-6,1.5466564773678253e-6,1.999125967950295e-6,2.229777149898605e-6,2.6915026296121394e-6,3.2039520365834204e-6,3.4927949958270396e-6,4.181566075475173e-6,4.632557086765205e-6,5.201076500082745e-6,6.012626957792244e-6,7.308046426344107e-6,3.694679588998863e-5
2.5217752495700246e-9,1.1989123121089386e-7,4.6241974936780513e-7,9.30712086854203e-7,1.3003710608175474e-6,1.6122655496861027e-6,1.9211320238252675e-6,2.4898367179191095e-6,2.7802479374970027e-6,3.3624201275020212e-6,4.009580604159722e-6,4.374743804589556e-6,5.246424538491465e-6,5.817762985379335e-6,6.538529127403304e-6,7.568265220710113e-6,9.213589281018873e-6,4.737031790002609e-5
2.9034527272503473e-9,1.4009335148985722e-7,5.453833281005549e-7,1.1038937436998705e-6,1.5466564773678253e-6,1.9211320238252675e-6,2.2926167941560633e-6,2.9779499154213115e-6,3.3284602412383577e-6,4.031991596041298e-6,4.815180589345194e-6,5.257524547210173e-6,6.314449707306546e-6,7.007846146403723e-6,7.883184710732412e-6,9.134698781918116e-6,1.113618412129065e-5,5.811607720027524e-5
3.5827709152139028e-9,1.765258680609137e-7,6.964051456934529e-7,1.4210473000502937e-6,1.999125967950295e-6,2.4898367179191095e-6,2.9779499154213115e-6,3.881264848109696e-6,4.344438150787712e-6,5.276055614112753e-6,6.315674965748748e-6,6.903816732590196e-6,8.311407588911382e-6,9.236330081979493e-6,1.0405310088385158e-5,1.2078845428610284e-5,1.4759430707175519e-5,7.898047660548933e-5
3.9206047891678885e-9,1.9483147760649922e-7,7.728406210469271e-7,1.5823184916078113e-6,2.229777149898605e-6,2.7802479374970027e-6,3.3284602412383577e-6,4.344438150787712e-6,4.8659985321399746e-6,5.916109474299448e-6,7.089343077591107e-6,7.753611253018631e-6,9.344685224572634e-6,1.0391004136075913e-5,1.1714186980545539e-5,1.3609726534117817e-5,1.6648292656863062e-5,9.01844843461738e-5
4.583757961070853e-9,2.3105894890238012e-7,9.249843223506917e-7,1.9045187775637332e-6,2.6915026296121394e-6,3.3624201275020212e-6,4.031991596041298e-6,5.276055614112753e-6,5.916109474299448e-6,7.207265723911164e-6,8.653123096113101e-6,9.473056858557146e-6,1.1440170469108107e-5,1.2735845799854373e-5,1.4376304885484353e-5,1.6729492507111573e-5,2.0507699805323934e-5,0.00011380583146646721
