x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
3663.0,1.0,0.0,0.845933082072569,64.0,92.0,208.0,368.0,333.0,301.0,311.0,244.0,283.0,221.0,214.0,167.0,201.0,120.0,119.0,122.0,56.0,40.0,49.0,40.0,33.0,77.0
3714.0,1.0,0.0,0.91485293460691,42.0,88.0,117.0,272.0,257.0,219.0,234.0,219.0,248.0,204.0,235.0,205.0,175.0,223.0,178.0,180.0,159.0,149.0,90.0,58.0,56.0,106.0
3744.0,1.0,0.0,0.965713360250609,24.0,49.0,72.0,147.0,187.0,188.0,158.0,200.0,161.0,168.0,190.0,189.0,249.0,182.0,215.0,208.0,258.0,210.0,236.0,188.0,127.0,138.0
3747.0,1.0,0.0,1.0,16.0,22.0,43.0,68.0,99.0,108.0,123.0,153.0,125.0,141.0,173.0,126.0,170.0,194.0,255.0,234.0,222.0,289.0,330.0,309.0,317.0,230.0
3732.0,1.0,0.0,1.02199202285885,7.0,13.0,25.0,38.0,48.0,54.0,79.0,98.0,95.0,109.0,126.0,135.0,141.0,153.0,195.0,215.0,284.0,266.0,341.0,435.0,454.0,421.0
3699.0,1.0,0.0,1.03294582160778,3.0,12.0,19.0,28.0,27.0,39.0,34.0,71.0,68.0,88.0,78.0,122.0,144.0,135.0,175.0,211.0,254.0,303.0,322.0,427.0,597.0,542.0
3679.0,2.0,0.0005436259853220984,1.0,3.0,15.0,26.0,24.0,25.0,39.0,51.0,62.0,56.0,90.0,94.0,132.0,136.0,145.0,185.0,232.0,260.0,290.0,323.0,456.0,547.0,488.0
3656.0,1.0,0.0,0.961190289725818,12.0,29.0,21.0,48.0,62.0,87.0,78.0,85.0,151.0,141.0,152.0,150.0,184.0,198.0,236.0,207.0,255.0,284.0,353.0,354.0,290.0,279.0
3667.0,1.0,0.0,0.917295801615823,31.0,43.0,71.0,130.0,148.0,194.0,206.0,170.0,219.0,201.0,168.0,216.0,203.0,228.0,204.0,238.0,220.0,186.0,177.0,158.0,114.0,142.0
3671.0,1.0,0.0,0.865341287608929,58.0,106.0,137.0,303.0,292.0,248.0,285.0,219.0,238.0,234.0,206.0,200.0,195.0,172.0,149.0,135.0,106.0,97.0,100.0,51.0,45.0,95.0
3622.0,1.0,0.0,0.849589355833852,76.0,149.0,198.0,359.0,301.0,325.0,248.0,267.0,238.0,221.0,228.0,179.0,142.0,116.0,129.0,83.0,77.0,85.0,45.0,37.0,36.0,83.0
3556.0,1.0,0.0,0.854232497792917,71.0,130.0,203.0,352.0,290.0,295.0,285.0,221.0,247.0,224.0,198.0,185.0,147.0,128.0,103.0,86.0,94.0,84.0,48.0,34.0,29.0,102.0
3484.0,1.0,0.0,0.9066485538442,53.0,82.0,187.0,285.0,299.0,250.0,270.0,209.0,234.0,205.0,191.0,189.0,169.0,159.0,127.0,106.0,90.0,107.0,72.0,51.0,44.0,105.0
3428.0,1.0,0.0,0.916255020730603,40.0,67.0,117.0,243.0,249.0,230.0,227.0,242.0,188.0,226.0,182.0,188.0,173.0,168.0,160.0,139.0,115.0,113.0,125.0,66.0,55.0,115.0
3389.0,1.0,0.0,0.918643840182546,29.0,50.0,73.0,193.0,200.0,205.0,190.0,211.0,220.0,189.0,215.0,183.0,171.0,172.0,166.0,169.0,153.0,149.0,134.0,116.0,87.0,114.0
3383.0,1.0,0.0,0.930545531006455,28.0,39.0,67.0,142.0,158.0,179.0,159.0,162.0,184.0,198.0,206.0,205.0,197.0,162.0,189.0,173.0,170.0,173.0,171.0,175.0,121.0,125.0
3421.0,1.0,0.0,0.947879874090103,28.0,33.0,55.0,119.0,133.0,157.0,159.0,135.0,135.0,180.0,171.0,195.0,221.0,201.0,188.0,204.0,188.0,207.0,207.0,179.0,181.0,145.0
3483.0,1.0,0.0,0.959058879534689,36.0,29.0,48.0,115.0,127.0,123.0,129.0,168.0,127.0,145.0,166.0,184.0,174.0,235.0,216.0,209.0,221.0,222.0,209.0,205.0,222.0,173.0
3557.0,1.0,0.0,0.989330601759676,40.0,26.0,51.0,117.0,132.0,120.0,131.0,174.0,127.0,140.0,163.0,173.0,179.0,227.0,226.0,227.0,247.0,226.0,216.0,200.0,240.0,175.0
3616.0,1.0,0.0,0.989505133768759,43.0,27.0,61.0,133.0,130.0,145.0,167.0,168.0,142.0,155.0,177.0,192.0,185.0,246.0,195.0,268.0,227.0,212.0,209.0,182.0,207.0,145.0
3641.0,1.0,0.0,0.938365200773698,45.0,35.0,68.0,188.0,171.0,193.0,183.0,194.0,189.0,215.0,182.0,248.0,217.0,242.0,222.0,190.0,170.0,162.0,149.0,167.0,106.0,105.0
3633.0,1.0,0.0,0.877580645422887,43.0,52.0,113.0,287.0,291.0,260.0,253.0,287.0,284.0,264.0,244.0,197.0,186.0,153.0,127.0,123.0,134.0,105.0,53.0,71.0,51.0,55.0
