x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
1.1253662953865268e-18,5.740034220025469e-16,2.213389110374656e-15,4.2908553350822535e-15,5.865174761643661e-15,7.165188672618319e-15,8.433488991963017e-15,9.602183715799508e-15,1.0731904580287128e-14,1.1891529174745388e-14,1.3038485029733144e-14,1.4194325191870832e-14,1.5411603839407536e-14,1.6729086120500484e-14,1.815044222203499e-14,1.9710804149573243e-14,2.1524026100088892e-14,2.3723940714867064e-14,2.6489409339545848e-14,3.042584820842829e-14,3.668971859528139e-14,1.7410944650174811e-13
5.740034220025469e-16,2.3774138726054153e-10,1.8764503597756356e-9,4.566464085817701e-9,6.815132871653635e-9,8.759341151211018e-9,1.0714184569061364e-8,1.2556480980168336e-8,1.436952480585637e-8,1.625816514097118e-8,1.815082946291381e-8,2.008026398306013e-8,2.2132585322059936e-8,2.4376338183055696e-8,2.681918869585886e-8,2.952491624677094e-8,3.269733393054661e-8,3.6581281838600055e-8,4.151101443451729e-8,4.8603520826971695e-8,6.003380800570999e-8,3.5718598517798675e-7
2.213389110374656e-15,1.8764503597756356e-9,1.761253225716515e-8,4.5345665477681825e-8,6.914697553608032e-8,8.997589910637148e-8,1.110825759667063e-7,1.3108986360419395e-7,1.5086807220111222e-7,1.7154885536579724e-7,1.923414614003002e-7,2.1359811168310162e-7,2.3626645917069842e-7,2.6110872365642164e-7,2.882170156760813e-7,3.183077942173253e-7,3.536644410816262e-7,3.970463428132799e-7,4.5223596998972107e-7,5.31840402476333e-7,6.60514781605997e-7,4.125335221297582e-6
4.2908553350822535e-15,4.566464085817701e-9,4.5345665477681825e-8,1.1912515712014198e-7,1.8312166106032455e-7,2.3940843345011614e-7,2.96633079513578e-7,3.510105007879382e-7,4.048680223883305e-7,4.612740377605947e-7,5.180642308056453e-7,5.761922800666765e-7,6.382486916748763e-7,7.063264345776468e-7,7.806867238691196e-7,8.633053988006162e-7,9.604718497715678e-7,1.0798059325484586e-6,1.231770583875309e-6,1.4512009166337777e-6,1.806348091498527e-6,1.1510015124593203e-5
5.865174761643661e-15,6.815132871653635e-9,6.914697553608032e-8,1.8312166106032455e-7,2.8245912291051917e-7,3.700451454767113e-7,4.592395067412908e-7,5.441046164568145e-7,6.282433318626495e-7,7.164394296244204e-7,8.053032267803239e-7,8.963205368422717e-7,9.935472620125226e-7,1.1002684005277682e-6,1.2169014184271604e-6,1.3465548909941956e-6,1.499116606326361e-6,1.6865829614440286e-6,1.9254423180602035e-6,2.270556640999692e-6,2.8295265862184988e-6,1.822614795475175e-5
7.165188672618319e-15,8.759341151211018e-9,8.997589910637148e-8,2.3940843345011614e-7,3.700451454767113e-7,4.854245721730455e-7,6.030664289336576e-7,7.151065468964927e-7,8.262742498357675e-7,9.428813985893983e-7,1.0604415263331693e-6,1.1809141402459661e-6,1.3096679140974744e-6,1.4510597639349099e-6,1.605651784223979e-6,1.7775749397117003e-6,1.9799604610135116e-6,2.2287584040417486e-6,2.545908788279625e-6,3.0043752511628786e-6,3.7473850394205886e-6,2.4350022626704613e-5
8.433488991963017e-15,1.0714184569061364e-8,1.110825759667063e-7,2.96633079513578e-7,4.592395067412908e-7,6.030664289336576e-7,7.498771198242914e-7,8.898247589532928e-7,1.0287870728207837e-6,1.1746451828344246e-6,1.3217823447690914e-6,1.4726442705451586e-6,1.6339547510585488e-6,1.811181410151853e-6,2.005040734899112e-6,2.2207270864366675e-6,2.474740162646145e-6,2.78714552107e-6,3.1855670823116953e-6,3.761821738289452e-6,4.696307243259915e-6,3.0786140780576066e-5
9.602183715799508e-15,1.2556480980168336e-8,1.3108986360419395e-7,3.510105007879382e-7,5.441046164568145e-7,7.151065468964927e-7,8.898247589532928e-7,1.0565114991855852e-6,1.2221386312766286e-6,1.3960916008347462e-6,1.571667564034068e-6,1.7517781612612478e-6,1.9444523997152414e-6,2.1562318174386092e-6,2.3879867726592124e-6,2.6459437379155834e-6,2.949866476459058e-6,3.3238178535411513e-6,3.8009515165860752e-6,4.491406679440516e-6,5.611769648470247e-6,3.709924843718942e-5
1.0731904580287128e-14,1.436952480585637e-8,1.5086807220111222e-7,4.048680223883305e-7,6.282433318626495e-7,8.262742498357675e-7,1.0287870728207837e-6,1.2221386312766286e-6,1.4143875096688154e-6,1.6164208193312237e-6,1.8204502545639185e-6,2.0298524968302798e-6,2.253964900572329e-6,2.500409520989782e-6,2.7702162108311086e-6,3.0706537962049267e-6,3.424776926032239e-6,3.860687967282556e-6,4.417137753016807e-6,5.2227917081822275e-6,6.530892709380509e-6,4.354145044635346e-5
1.1891529174745388e-14,1.625816514097118e-8,1.7154885536579724e-7,4.612740377605947e-7,7.164394296244204e-7,9.428813985893983e-7,1.1746451828344246e-6,1.3960916008347462e-6,1.6164208193312237e-6,1.8481045557180587e-6,2.082209157400899e-6,2.32260217122253e-6,2.5800068639445344e-6,2.8631942028084276e-6,3.173368954856825e-6,3.518912558702458e-6,3.926385860842227e-6,4.428205363841231e-6,5.0691097736708595e-6,5.997561936628621e-6,7.5060497270393035e-6,5.049182220059412e-5
