x1,x2,x3,x4,x5,x6,x7,x8
3693.0,1.0,0.0,0.941503554638587,860.0,1052.0,676.0,1105.0
3737.0,1.0,0.0,0.991094886175754,494.0,902.0,806.0,1535.0
3757.0,1.0,0.0,0.98986341724221,522.0,926.0,829.0,1480.0
3759.0,2.0,0.0005320563979781857,0.993072277360266,591.0,941.0,817.0,1410.0
3724.0,1.0,0.0,0.995822513124702,868.0,1141.0,781.0,934.0
3691.0,1.0,0.0,0.997800148214038,1195.0,1208.0,711.0,577.0
3663.0,1.0,0.0,0.998517263938956,1608.0,1209.0,531.0,315.0
3675.0,1.0,0.0,0.997506436980566,1541.0,1186.0,582.0,366.0
3669.0,1.0,0.0,0.994094258407543,1224.0,1213.0,612.0,620.0
3667.0,1.0,0.0,0.986999639390704,993.0,1112.0,685.0,877.0
3631.0,1.0,0.0,0.977024723642131,665.0,1025.0,828.0,1113.0
3576.0,1.0,0.0,0.966895847237663,500.0,932.0,877.0,1267.0
3516.0,1.0,0.0,0.958653229825585,492.0,897.0,881.0,1246.0
3457.0,1.0,0.0,0.952921432912716,599.0,1012.0,811.0,1035.0
3433.0,1.0,0.0,0.949548406212204,876.0,1043.0,725.0,789.0
3421.0,2.0,0.0005846243788365975,0.948500516762992,1036.0,1087.0,641.0,657.0
3454.0,1.0,0.0,0.950093583014257,1036.0,1098.0,644.0,676.0
3515.0,1.0,0.0,0.931517454604837,1099.0,1194.0,613.0,609.0
3572.0,1.0,0.0,0.869531095604472,1352.0,1301.0,539.0,380.0
3636.0,1.0,0.0,0.859193547449733,1219.0,1398.0,598.0,421.0
3657.0,1.0,0.0,0.926218715966911,733.0,1224.0,805.0,895.0
3635.0,2.0,0.0005502063273727648,0.970030769130973,383.0,759.0,915.0,1578.0
