x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3567.0,1.0,0.0,1.0,589.0,662.0,882.0,774.0,402.0,258.0
3636.0,1.0,0.0,1.0,717.0,764.0,916.0,752.0,285.0,202.0
3648.0,1.0,0.0,1.0,661.0,763.0,935.0,781.0,313.0,195.0
3624.0,2.0,0.0005518763796909492,1.0,546.0,712.0,938.0,799.0,408.0,221.0
3602.0,1.0,0.0,1.0,256.0,534.0,930.0,946.0,573.0,363.0
3577.0,1.0,0.0,1.0,148.0,328.0,829.0,1003.0,772.0,497.0
3562.0,3.0,0.0008422234699606962,1.0,104.0,167.0,628.0,986.0,958.0,719.0
3552.0,1.0,0.0,1.0,129.0,192.0,639.0,1003.0,917.0,672.0
3581.0,1.0,0.0,1.0,198.0,349.0,749.0,1028.0,739.0,518.0
3569.0,1.0,0.0,1.0,324.0,536.0,955.0,900.0,512.0,342.0
3527.0,1.0,0.0,1.0,458.0,637.0,1010.0,811.0,375.0,236.0
3471.0,1.0,0.0,1.0,474.0,695.0,1041.0,742.0,316.0,203.0
3423.0,1.0,0.0,1.0,410.0,720.0,994.0,760.0,330.0,209.0
3357.0,1.0,0.0,1.0,316.0,613.0,945.0,826.0,399.0,258.0
3320.0,1.0,0.0,1.0,236.0,466.0,896.0,854.0,517.0,351.0
3314.0,1.0,0.0,1.0,208.0,405.0,801.0,874.0,603.0,423.0
3331.0,1.0,0.0,1.0,236.0,405.0,808.0,903.0,569.0,410.0
3391.0,1.0,0.0,1.0,297.0,475.0,855.0,901.0,503.0,360.0
3463.0,1.0,0.0,1.0,186.0,310.0,749.0,1060.0,697.0,461.0
3519.0,1.0,0.0,1.0,182.0,302.0,779.0,1106.0,703.0,447.0
3538.0,1.0,0.0,1.0,352.0,580.0,956.0,926.0,470.0,254.0
3513.0,1.0,0.0,1.0,682.0,948.0,1036.0,536.0,201.0,110.0
