x1,x2,x3,x4,x5,x6
2.4129364255875803e-7,3.781979996032087e-7,5.916707979522709e-7,8.926315519506839e-7,1.3048705932457051e-6,6.5491592275336286e-6
3.781979996032087e-7,6.625273801273953e-7,1.1583358584924095e-6,1.9108222486170197e-6,2.9904917383707585e-6,1.9994749230218853e-5
5.916707979522709e-7,1.1583358584924095e-6,2.25390694460566e-6,4.033752416240141e-6,6.69413041080841e-6,5.54955300423748e-5
8.926315519506839e-7,1.9108222486170197e-6,4.033752416240141e-6,7.669599548067004e-6,1.3283267588647666e-5,0.0001281024975987224
1.3048705932457051e-6,2.9904917383707585e-6,6.69413041080841e-6,1.3283267588647666e-5,2.371169745259849e-5,0.0002553232923219536
6.5491592275336286e-6,1.9994749230218853e-5,5.54955300423748e-5,0.0001281024975987224,0.0002553232923219536,0.004492690484538431
2.8925994351556914e-7,4.294109943864556e-7,6.395821949662469e-7,9.302726532182374e-7,1.3252388635305582e-6,6.153063997425317e-6
4.294109943864556e-7,6.939244685385012e-7,1.1365025136983591e-6,1.7992218484672972e-6,2.7488512183173938e-6,1.771967313425686e-5
6.395821949662469e-7,1.1365025136983591e-6,2.0660247129903095e-6,3.573253468423279e-6,5.844728704862722e-6,4.9004721861761386e-5
9.302726532182374e-7,1.7992218484672972e-6,3.573253468423279e-6,6.644329517736931e-6,1.1471945618908414e-5,0.00011644220086906377
1.3252388635305582e-6,2.7488512183173938e-6,5.844728704862722e-6,1.1471945618908414e-5,2.061915412919409e-5,0.0002411529452277469
6.153063997425317e-6,1.771967313425686e-5,4.9004721861761386e-5,0.00011644220086906377,0.0002411529452277469,0.004940250493288553
1.845345257523325e-7,2.7745278926058925e-7,4.174759891578816e-7,6.128305456941448e-7,8.812341591719028e-7,4.436493311663e-6
2.7745278926058925e-7,4.515971125119942e-7,7.427116958070036e-7,1.1820941401382125e-6,1.8197911107219299e-6,1.2646160737268995e-5
4.174759891578816e-7,7.427116958070036e-7,1.3513138120910694e-6,2.352598296851143e-6,3.891845398094324e-6,3.588579969527668e-5
6.128305456941448e-7,1.1820941401382125e-6,2.352598296851143e-6,4.432760995704616e-6,7.804806478220862e-6,9.002280012520189e-5
8.812341591719028e-7,1.8197911107219299e-6,3.891845398094324e-6,7.804806478220862e-6,1.4440856784906874e-5,0.000198675798657171
4.436493311663e-6,1.2646160737268995e-5,3.588579969527668e-5,9.002280012520189e-5,0.000198675798657171,0.0053894508956686
3.4243399798415144e-8,6.664835254989139e-8,1.2138295865246337e-7,2.040402137730467e-7,3.24331126828493e-7,2.458715620276089e-6
6.664835254989139e-8,1.4017885542661254e-7,2.746393859237575e-7,4.898486804330898e-7,8.157929781403116e-7,7.494691609163447e-6
1.2138295865246337e-7,2.746393859237575e-7,5.819392137333211e-7,1.1123141718595144e-6,1.958722878932394e-6,2.2395259495362808e-5
2.040402137730467e-7,4.898486804330898e-7,1.1123141718595144e-6,2.27512057751123e-6,4.2440443660589736e-6,6.041888997141543e-5
3.24331126828493e-7,8.157929781403116e-7,1.958722878932394e-6,4.2440443660589736e-6,8.338244077052257e-6,0.00014479702075017656
2.458715620276089e-6,7.494691609163447e-6,2.2395259495362808e-5,6.041888997141543e-5,0.00014479702075017656,0.005814826381422182
1.2969367299424959e-8,2.86430646336955e-8,5.6615143369215915e-8,1.005221747997245e-7,1.6636600655909534e-7,1.5142157596922471e-6
2.86430646336955e-8,6.764402894767841e-8,1.419670963821851e-7,2.643165171741129e-7,4.5391183573405406e-7,4.785467611417633e-6
5.6615143369215915e-8,1.419670963821851e-7,3.1787409292240823e-7,6.277193260965786e-7,1.131821363327574e-6,1.4497368471194829e-5
1.005221747997245e-7,2.643165171741129e-7,6.277193260965786e-7,1.3210192037910367e-6,2.5239429593850453e-6,4.074768097928062e-5
1.6636600655909534e-7,4.5391183573405406e-7,1.131821363327574e-6,2.5239429593850453e-6,5.1080262082147e-6,0.00010425750453255687
1.5142157596922471e-6,4.785467611417633e-6,1.4497368471194829e-5,4.074768097928062e-5,0.00010425750453255687,0.006188609458110063
1.5582396183082288e-8,3.090167926014825e-8,5.690233889610752e-8,9.65320614179456e-8,1.5500244032191123e-7,1.3107529660745182e-6
3.090167926014825e-8,6.536831275316411e-8,1.2793461411153782e-7,2.2830473258906955e-7,3.8193109891541735e-7,3.844968148132838e-6
5.690233889610752e-8,1.2793461411153782e-7,2.677418445088918e-7,5.084816203490925e-7,8.967310593289654e-7,1.1236612102324915e-5
9.65320614179456e-8,2.2830473258906955e-7,5.084816203490925e-7,1.0326464836796705e-6,1.9379928485742763e-6,3.13752111321746e-5
1.5500244032191123e-7,3.8193109891541735e-7,8.967310593289654e-7,1.9379928485742763e-6,3.876922357347951e-6,8.242310408677439e-5
1.3107529660745182e-6,3.844968148132838e-6,1.1236612102324915e-5,3.13752111321746e-5,8.242310408677439e-5,0.006342433482016588
2.201441186915086e-8,4.1694493487155704e-8,7.435151145667451e-8,1.233765015992902e-7,1.949260981031839e-7,1.5401848720768893e-6
4.1694493487155704e-8,8.409043022499575e-8,1.592780712201788e-7,2.7809255881107437e-7,4.580523577113043e-7,4.340218043420903e-6
7.435151145667451e-8,1.592780712201788e-7,3.22342697934707e-7,5.985281445997645e-7,1.038862537883281e-6,1.2272110233575428e-5
1.233765015992902e-7,2.7809255881107437e-7,5.985281445997645e-7,1.1865663252321433e-6,2.188403166228668e-6,3.332409602934149e-5
1.949260981031839e-7,4.580523577113043e-7,1.038862537883281e-6,2.188403166228668e-6,4.2954421972181526e-6,8.573748853700935e-5
1.5401848720768893e-6,4.340218043420903e-6,1.2272110233575428e-5,3.332409602934149e-5,8.573748853700935e-5,0.006086670870934909
2.59572528709875e-8,5.3916528419309076e-8,1.0227388874599781e-7,1.7650562564687874e-7,2.8579341853069296e-7,2.3216755970010656e-6
5.3916528419309076e-8,1.1938287784535374e-7,2.4004159244064536e-7,4.3407491271959705e-7,7.289887562133043e-7,6.872691511954801e-6
1.0227388874599781e-7,2.4004159244064536e-7,5.135265750543177e-7,9.81799253298747e-7,1.7258346381690813e-6,1.9568677954727916e-5
1.7650562564687874e-7,4.3407491271959705e-7,9.81799253298747e-7,1.9891282435261623e-6,3.682867468916088e-6,5.164158922869511e-5
2.8579341853069296e-7,7.289887562133043e-7,1.7258346381690813e-6,3.682867468916088e-6,7.173731638860693e-6,0.00012456295043973502
2.3216755970010656e-6,6.872691511954801e-6,1.9568677954727916e-5,5.164158922869511e-5,0.00012456295043973502,0.005630787173313314
9.736334598146572e-8,1.7666595117468414e-7,3.0583038825937426e-7,4.950149736930167e-7,7.628564210776259e-7,4.862460880480086e-6
1.7666595117468414e-7,3.4565711150630456e-7,6.423965919476025e-7,1.1011981211479635e-6,1.7747018721150018e-6,1.3683616171621487e-5
3.0583038825937426e-7,6.423965919476025e-7,1.2848262894197033e-6,2.3451198948114133e-6,3.971003520517535e-6,3.73675844115796e-5
4.950149736930167e-7,1.1011981211479635e-6,2.3451198948114133e-6,4.5347599624200695e-6,8.050084897928759e-6,9.128636166434593e-5
7.628564210776259e-7,1.7747018721150018e-6,3.971003520517535e-6,8.050084897928759e-6,1.487785779579709e-5,0.0001981824454263258
4.862460880480086e-6,1.3683616171621487e-5,3.73675844115796e-5,9.128636166434593e-5,0.0001981824454263258,0.005209015041693054
