x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
3567.0,1.0,0.0,1.0,284.0,305.0,662.0,882.0,774.0,402.0,98.0,160.0
3636.0,1.0,0.0,1.0,393.0,324.0,764.0,916.0,752.0,285.0,93.0,109.0
3648.0,1.0,0.0,1.0,343.0,318.0,763.0,935.0,781.0,313.0,79.0,116.0
3624.0,2.0,0.0005518763796909492,1.0,262.0,284.0,712.0,938.0,799.0,408.0,75.0,146.0
3602.0,1.0,0.0,1.0,135.0,121.0,534.0,930.0,946.0,573.0,179.0,184.0
3577.0,1.0,0.0,1.0,84.0,64.0,328.0,829.0,1003.0,772.0,254.0,243.0
3562.0,3.0,0.0008422234699606962,1.0,64.0,40.0,167.0,628.0,986.0,958.0,360.0,359.0
3552.0,1.0,0.0,1.0,69.0,60.0,192.0,639.0,1003.0,917.0,334.0,338.0
3581.0,1.0,0.0,1.0,107.0,91.0,349.0,749.0,1028.0,739.0,272.0,246.0
3569.0,1.0,0.0,1.0,173.0,151.0,536.0,955.0,900.0,512.0,162.0,180.0
3527.0,1.0,0.0,1.0,229.0,229.0,637.0,1010.0,811.0,375.0,91.0,145.0
3471.0,1.0,0.0,1.0,222.0,252.0,695.0,1041.0,742.0,316.0,81.0,122.0
3423.0,1.0,0.0,1.0,176.0,234.0,720.0,994.0,760.0,330.0,85.0,124.0
3357.0,1.0,0.0,1.0,143.0,173.0,613.0,945.0,826.0,399.0,116.0,142.0
3320.0,1.0,0.0,1.0,122.0,114.0,466.0,896.0,854.0,517.0,174.0,177.0
3314.0,1.0,0.0,1.0,111.0,97.0,405.0,801.0,874.0,603.0,211.0,212.0
3331.0,1.0,0.0,1.0,124.0,112.0,405.0,808.0,903.0,569.0,211.0,199.0
3391.0,1.0,0.0,1.0,152.0,145.0,475.0,855.0,901.0,503.0,216.0,144.0
3463.0,1.0,0.0,1.0,89.0,97.0,310.0,749.0,1060.0,697.0,274.0,187.0
3519.0,1.0,0.0,1.0,88.0,94.0,302.0,779.0,1106.0,703.0,283.0,164.0
3538.0,1.0,0.0,1.0,177.0,175.0,580.0,956.0,926.0,470.0,145.0,109.0
3513.0,1.0,0.0,1.0,308.0,374.0,948.0,1036.0,536.0,201.0,61.0,49.0
