x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3620.0,2.0,0.0,0.910775453131647,298.0,521.0,869.0,862.0,599.0,471.0
3670.0,1.0,0.0,0.992667283326291,219.0,259.0,757.0,941.0,737.0,757.0
3692.0,1.0,0.0,0.997594601355431,200.0,301.0,778.0,958.0,750.0,705.0
3682.0,4.0,0.0,0.987532665175149,216.0,358.0,779.0,974.0,739.0,616.0
3654.0,1.0,0.0,0.971224296557093,335.0,531.0,918.0,963.0,586.0,321.0
3620.0,1.0,0.0,0.953800584929942,462.0,742.0,983.0,882.0,397.0,154.0
3610.0,3.0,0.0,0.940099482768042,701.0,911.0,985.0,687.0,214.0,112.0
3586.0,2.0,0.0,0.942741079617076,636.0,885.0,980.0,717.0,231.0,137.0
3605.0,2.0,0.0,0.954240372000474,507.0,693.0,1010.0,763.0,412.0,220.0
3600.0,2.0,0.0,0.964972590888835,396.0,578.0,921.0,845.0,540.0,320.0
3559.0,2.0,0.0,0.966867656157035,252.0,392.0,836.0,993.0,626.0,460.0
3503.0,2.0,0.0,0.960581925263474,200.0,297.0,710.0,1069.0,704.0,523.0
3439.0,2.0,0.0,0.951231688234493,193.0,284.0,732.0,1043.0,732.0,455.0
3373.0,2.0,0.0,0.942305725354101,246.0,350.0,800.0,986.0,643.0,348.0
3339.0,2.0,0.0,0.935275710807301,325.0,507.0,826.0,903.0,505.0,273.0
3332.0,2.0,0.0,0.931320890568864,417.0,601.0,864.0,799.0,427.0,224.0
3364.0,2.0,0.0,0.931776107869937,413.0,589.0,900.0,791.0,426.0,245.0
3436.0,2.0,0.0,0.913791476945371,446.0,622.0,966.0,784.0,389.0,229.0
3515.0,1.0,0.0,0.89223782421682,501.0,814.0,1116.0,673.0,292.0,119.0
3568.0,1.0,0.0,0.895007826018778,430.0,761.0,1188.0,756.0,313.0,120.0
3593.0,1.0,0.0,0.918866820520749,261.0,462.0,959.0,1034.0,552.0,325.0
3574.0,4.0,0.0,0.96128384855257,140.0,232.0,606.0,1060.0,876.0,660.0
