DATE,Lsh
1989,62.7
1989.25,61.9
1989.5,61.7
1989.75,62.3
1990,62.4
1990.25,62.5
1990.5,62.6
1990.75,63.1
1991,62.8
1991.25,62.6
1991.5,62.4
1991.75,62.7
1992,62.9
1992.25,62.7
1992.5,62.6
1992.75,62.2
1993,61.7
1993.25,62.2
1993.5,61.8
1993.75,61.7
1994,60.9
1994.25,61.1
1994.5,61
1994.75,60.6
1995,60.7
1995.25,60.6
1995.5,60.7
1995.75,60.7
1996,60.8
1996.25,60.5
1996.5,60.6
1996.75,60.5
1997,60.9
1997.25,60.4
1997.5,60.4
1997.75,61.1
1998,61.7
1998.25,62.1
1998.5,62.1
1998.75,61.9
1999,62.1
1999.25,62
1999.5,61.8
1999.75,61.8
2000,63.9
2000.25,62.5
2000.5,63.4
2000.75,62.8
2001,64.3
2001.25,63
2001.5,62.8
2001.75,62.4
2002,61.4
2002.25,61.6
2002.5,61.2
2002.75,61.3
2003,60.8
2003.25,60.9
2003.5,60.3
2003.75,60.5
2004,60
2004.25,60.2
2004.5,60.6
2004.75,60.1
2005,59.4
2005.25,59.3
2005.5,59
2005.75,58.9
2006,59.4
2006.25,59
2006.5,59
2006.75,59.5
2007,60.4
2007.25,59.6
2007.5,59.1
2007.75,59.3
2008,60.2
2008.25,59.4
2008.5,59.3
2008.75,60.4
2009,58.2
2009.25,58.8
2009.5,58.3
2009.75,57.9
2010,57
2010.25,57.2
2010.5,57
2010.75,56.7
2011,58.1
2011.25,57.2
2011.5,57.3
2011.75,56
2012,56.9
2012.25,56.6
2012.5,56.5
2012.75,58.1
2013,56.5
2013.25,57.2
2013.5,56.8
2013.75,56.2
2014,57.5
2014.25,56.5
2014.5,56
2014.75,57
2015,57.1
2015.25,57.1
2015.5,56.9
2015.75,57.9
2016,57.4
2016.25,57.6
2016.5,57.5
2016.75,56.3
2017,56.8
2017.25,56.6
2017.5,56.3
