Period,RealGDPpc,NomGDPpc
1989,35291,22427.43
1989.25,35488,22785.78
1989.5,35654,23058.15
1989.75,35633,23204.92
1990,35941,23663.91
1990.25,35968,23925.91
1990.5,35850,24060.37
1990.75,35419,23951.04
1991,35145,24002.63
1991.25,35305,24277.13
1991.5,35348,24485.21
1991.75,35381,24640.39
1992,35694,24965.1
1992.25,35968,25317.16
1992.5,36184,25590.41
1992.75,36420,25931.4
1993,36381,26050.98
1993.25,36486,26284.88
1993.5,36539,26481.64
1993.75,36909,26889.31
1994,37171,27211.4
1994.25,37569,27639.89
1994.5,37669,27863.38
1994.75,37980,28248
1995,38008,28431.12
1995.25,38033,28574.95
1995.5,38235,28863.22
1995.75,38389,29122.28
1996,38544,29398.28
1996.25,39106,29940.34
1996.5,39340,30204.47
1996.75,39629,30580.91
1997,39825,30922.92
1997.25,40311,31384.94
1997.5,40689,31792.35
1997.75,40877,32045.52
1998,41176,32332.63
1998.25,41461,32624.42
1998.5,41873,33071.71
1998.75,42432,33618.02
1999,42663,33969.99
1999.25,42897,34270.84
1999.5,43299,34717.14
1999.75,43919,35375.44
2000,43935,35658.96
2000.25,44654,36447.93
2000.5,44586,36628.29
2000.75,44721,36936.42
2001,44492,36978.19
2001.25,44623,37349
2001.5,44366,37255.46
2001.75,44376,37376.57
