,V1
1,0.405437662
2,0.404429435
3,0.398486965
4,0.40562594
5,0.411943626
6,0.399833717
7,0.401219549
8,0.410217459
9,0.420462595
10,0.408764207
11,0.407299429
12,0.416138542
13,0.422147506
14,0.414059975
15,0.412655369
16,0.413754081
17,0.418181042
18,0.411891759
19,0.408390431
20,0.40840214
21,0.425411514
22,0.413401299
23,0.413335129
24,0.417248098
25,0.418189651
26,0.410687473
27,0.411293168
28,0.416135319
29,0.417500269
30,0.41205419
31,0.407112124
32,0.411647675
33,0.414915373
34,0.40767242
35,0.400501599
36,0.406515304
37,0.420374204
38,0.411057007
39,0.411964091
40,0.414911841
41,0.411109597
42,0.408074122
43,0.411819681
44,0.411816353
45,0.409449575
46,0.404411365
47,0.402793074
48,0.412593876
49,0.413245302
50,0.409354042
51,0.409157015
52,0.421931889
