"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"13264",2007,0.453932883064779,0.778030063845282,0.680448193080183,0.609903042082815,0.811367753590791,0,0,0.572107397082035,0,1,1
"13265",2007,0.505804247635172,0.856574772814235,0,0.784283867635419,1,0.925450648286376,0.593805306006329,0.678193712917948,0,3,2
"13266",2007,0.460744640716101,0.779732163431188,0.696540608285245,0.634744938734703,0.661641913902581,0,0,0.609532083821849,0,1,1
"13267",2007,0.460117646007286,0.856191085666187,0.762960877493696,0.663331918174481,0.850274158936154,0,0.757736364082526,0.730099755430655,0,2,1
"13269",2007,0.489305379056604,0.824699783318168,0.697891213286362,0.641746499431624,0.947157200179326,0,0,0.739977018915011,0,1,1
"13270",2007,0.529352722134959,0.90265412846649,0.751474262424983,0.738528462656248,0.947157200179326,0,0,0.887449513510554,0,1,1
"13271",2007,0.463027181877675,0.748918011057539,0.647805742128122,0.635280424608371,0.811367753590791,0,0,0.597307590733008,0,1,1
"13272",2007,0.451085543692269,0.836009518371036,0.771267179125481,0.608620066846879,0.974523053676275,0,0,0.768694811103039,0,1,1
"13274",2007,0.562048900029803,0.945813890755293,0,0.823443087100851,0.974523053676275,0,0.492055126951291,0.6561443476105,0,2,1
"13275",2007,0.488108214801969,0.632212742661529,0.548201778866502,0.61968440236766,0.850274158936154,0.68755388252671,0,0.302207154812381,0,4,3
"13276",2007,0.446909931156633,0.853015956207951,0.711538294173426,0.663745326375111,0.947157200179326,0,0,0.359230947375424,0,1,1
"13277",2007,0.504068417277881,0.768761840731028,0.516093863686538,0.584354782542913,0.811367753590791,0,0.270601087339647,0.871820447657421,0,2,1
"13279",2007,0.451772793861643,0.760857821367182,0.619928264791568,0.573891156186373,0.811367753590791,0,0,0.518393689604603,0,1,1
"13281",2007,0.473692719043544,0.749897999899748,0.678697558828007,0.633655676263715,0.947157200179326,0.784301663672236,0.560843479845502,0.281965479766254,0,4,3
"13282",2007,0.516417121842476,0.9169904027056,0,0.816079823517637,1,0,0.898303939837363,0.768694811103039,0,2,1
"13283",2007,0.469765353676745,0.724423792128469,0.633978463751349,0.579322465832955,0.811367753590791,0,0,0.72006177116363,0,1,1
"13284",2007,0.506034677754371,0.833323120794001,0.771887680634437,0.701291401620615,1,0,0.593805306006329,0.633277991890224,0,2,1
"13285",2007,0.492121209467308,0.755446075721529,0.621146945187166,0.63220158273389,0.811367753590791,0.79606471878333,0,0.633277991890224,0,4,3
"13286",2007,0.489826051949517,0.892701886813183,0.711479486883762,0.749701574845955,1,0,0.654050471430284,0.805018002346641,0,2,1
"13287",2007,0.435651852182196,0.812810078156392,0.541428495204337,0.622476966512837,0.850274158936154,0,0,0.688929920072318,0,1,1
"13288",2007,0.460612357357657,0.884075535729669,0.782804257664963,0.70910706758975,0.947157200179326,0,0,0.584835981506881,0,1,1
"13289",2007,0.487788837178382,0.77377810655135,0.661726620368431,0.656796590118473,0.917599920745785,0,0,0.532266596665309,0,1,1
"13290",2007,0.463862842765141,0.761369135843677,0.477374789045575,0.658466637797268,0.947157200179326,0.758749320429927,0,0.545834550942895,0,4,3
"13291",2007,0.490461622090863,0.775212236487258,0.741118733417873,0.650095028100684,0.917599920745785,0,0,0.459556931289805,0,1,1
"13292",2007,0.513307015076296,0.775556638156783,0.699070925185152,0.611503669077502,0.811367753590791,0,0,0.55911064687613,0,1,1
"13294",2007,0.468994019096679,0.771203238840408,0.732114432974497,0.649067731357043,0.811367753590791,0,0,0.621519176679091,0,1,1
"13295",2007,0.222374560683451,0.700562602992785,0,0.569895071191595,0.594316153468586,0.526155324822744,0,0.709858061987003,0,3,2
"13297",2007,0.494830812627634,0.785326677271564,0.713954384466577,0.67679189304965,0.974523053676275,0,0.459800051036672,0.55911064687613,0,2,1
"13298",2007,0.507506161131012,0.779775120710634,0.559621962284573,0.599882231313323,0.917599920745785,0,0,0.609532083821849,0,1,1
"13299",2007,0.476328319255646,0.72213427578327,0.691013485712086,0.588627456189991,0.661641913902581,0,0,0.545834550942895,0,1,1
"13300",2007,0.477083693016186,0.698930180150742,0.398250336218875,0.58631735388143,0.811367753590791,0.684215114486971,0,0.584835981506881,0,4,3
"13301",2007,0.491873477320249,0.888964321936598,0,0.690523191436866,0.947157200179326,0,0.593805306006329,0.787123538794936,0,2,1
"13302",2007,0.456161520011159,0.774696272175893,0.693927627671023,0.624719105107405,0.917599920745785,0,0.362142959789231,0.394515929460649,0,2,1
"13304",2007,0.483513634584752,0.700406301002113,0,0.571934751355145,0.811367753590791,0.64728447874444,0,0.72006177116363,0,3,2
"13305",2007,0.409557036699285,0.7401814426424,0.697290906583554,0.604145075466599,0.947157200179326,0,0,0.394515929460649,0,1,1
"13306",2007,0.544042745419956,0.748785934931592,0.697290906583554,0.605154068786761,0.917599920745785,0,0.270601087339647,0.411429731313707,0,1,1
"13307",2007,0.474120975469359,0.726431825383974,0.686993144995904,0.609903042082815,0.811367753590791,0,0,0.55911064687613,0,1,1
"13308",2007,0.474635425194332,0.954838876984401,0,0.807581355379592,0.947157200179326,0,0.681254090648317,0.980400895326616,0,2,1
"13309",2007,0.511776682649758,0.769716850153358,0.521759498041157,0.61983163890583,1,0.703075003546072,0,0.621519176679091,0,4,3
"13310",2007,0.497858866828426,0.758930287187098,0.730448422120834,0.664503749788139,0.850274158936154,0,0,0.633277991890224,0,1,1
"13311",2007,0.424742566050579,0.831024722754391,0.65055112498219,0.623236060985831,0.850274158936154,0,0.362142959789231,0.777978055284417,0,2,1
"13312",2007,0.387955631177214,0.83713263382187,0.61524759064173,0.698040495115529,1,0,0.492055126951291,0.796135677040712,0,2,1
"13314",2007,0.497789939200549,0.80821335806283,0.623929107606137,0.611678261015327,0.811367753590791,0,0,0.644817064757229,0,1,1
"13315",2007,0.465087950424802,0.747255782925999,0.747892160973205,0.642668172045753,0.974523053676275,0,0.270601087339647,0.302207154812381,0,2,1
"13316",2007,0.414355299721209,0.735181807878206,0.662847681220892,0.597365283976551,0.850274158936154,0,0,0.377125558107333,0,1,1
"13317",2007,0.448095821391597,0.767334237355229,0.709986700552937,0.626028625600681,0.850274158936154,0,0,0.597307590733008,0,1,1
"13318",2007,0.422969868342858,0.838752288243375,0.775674359425517,0.628052165085277,0.974523053676275,0,0,0.871820447657421,0,1,1
"13319",2007,0.540826178560488,0.814091675873382,0.641159304122546,0.617264938365002,0.850274158936154,0,0.747388169322063,0.879684285952297,0,2,1
"13320",2007,0.471593117947068,0.873228240893321,0.862970267583725,0.659505714169044,0.947157200179326,0,1,0.699482740692618,0,2,1
"13321",2007,0.365513637695372,0.734135100956927,0.711984220774619,0.607110479910258,0.811367753590791,0,0,0.584835981506881,0,1,1
"13325",2007,0.529778611729937,0.753273272431233,0.541428495204337,0.618791355641645,0.974523053676275,0.680740078172822,0,0.489676035398017,0,4,3
"13326",2007,0.441839475204879,0.742496369365549,0.700577852093283,0.605353343146572,0.811367753590791,0,0,0.532266596665309,0,1,1
"13327",2007,0.538491966956026,0.766923919182079,0,0.627051074422532,0.947157200179326,0.748187169693022,0,0.504201838442645,0,3,2
"13328",2007,0.455548803985101,0.924552172673126,0,0.842833212019212,0.850274158936154,0,0,0.822408520880161,0,2,1
"13329",2007,0.409960821106018,0.852879244405505,0.756591091362037,0.730579535887918,0.811367753590791,0,0.362142959789231,0.633277991890224,0,2,1
"13330",2007,0.540143062769816,0.762652429263635,0,0.558147528503442,0.811367753590791,0,0,0.93923105996828,0,2,1
"13331",2007,0.47152573883171,0.778792065934323,0.677917154214079,0.61422357264297,0.811367753590791,0,0,0.572107397082035,0,1,1
"13332",2007,0.474191253728342,0.813547914121503,0.732551578248774,0.656318355753135,0.850274158936154,0,0,0.359230947375424,0,1,1
"13333",2007,0.507579556762073,0.775164452878347,0,0.594209562277797,0.811367753590791,0,0,0.924874219797739,0,2,1
"13334",2007,0.484372255625923,0.803421188369857,0.708978966634197,0.625899272028046,0.947157200179326,0,0,0.532266596665309,0,1,1
"13336",2007,0.488206488639216,0.800700519941171,0.720264949430179,0.631168418581429,0.511916068711829,0,0,0.953261748806957,0,2,1
"13337",2007,0.520838300653289,0.812110717647153,0.762087479588305,0.704057606664351,1,0,0,0.6561443476105,0,1,1
"13338",2007,0.612042496486214,0.704949269885755,0.621387206785442,0.649465455704403,0.947157200179326,0.684215114486971,0,0.239374913899581,0,4,3
"13341",2007,0.483197189466299,0.774588314045033,0.730501790244194,0.651100765794397,0.947157200179326,0,0.418731157182544,0.411429731313707,0,2,1
"13342",2007,0.585983941712923,0.866325981747301,0.802367129715242,0.766395578460748,0.947157200179326,0,0.518619077424475,0.709858061987003,0,2,1
