"","x"
"1",14327
"2",14605
"3",14994
"4",15274
"5",15413
"6",15492
"7",15527
"8",15454
"9",14894
"10",14998
"11",15127
"12",15180
"13",14678
"14",14874
"15",14810
"16",14917
"17",14596
"18",14844
"19",14683
"20",14496
"21",14284
"22",14395
"23",14121
"24",14166
"25",14336
"26",14275
"27",14100
"28",13836
"29",12411
"30",12666
"31",12964
"32",12954
"33",12617
"34",13210
"35",13008
"36",12855
"37",13004
"38",13209
"39",13301
"40",13059
"41",13295
"42",12961
"43",13555
"44",13336
"45",13425
"46",13433
"47",13349
"48",13227
"49",12869
"50",12781
"51",15562
"52",15264
"53",15295
"54",15397
"55",15536
"56",15284
"57",15298
"58",15397
"59",14847
"60",14713
"61",15050
"62",15060
"63",14523
"64",14823
"65",14548
"66",14950
"67",14746
"68",15021
"69",14374
"70",14771
"71",14894
"72",15045
"73",14352
"74",15107
"75",14743
"76",14797
"77",14433
"78",15054
"79",14445
"80",14344
"81",13746
"82",14571
"83",13968
"84",13926
"85",13628
"86",14272
"87",14018
"88",14117
"89",13593
"90",13976
"91",13809
"92",14082
"93",13669
"94",13978
"95",13860
"96",13991
"97",13562
"98",13854
"99",13581
"100",13736
"101",13692
"102",13857
"103",13627
"104",14172
"105",13498
"106",13874
"107",13368
"108",13647
"109",13327
"110",13569
"111",14024
"112",13778
"113",13689
"114",13443
"115",13736
