,V1
1,0.444895244
2,0.447425244
3,0.433105998
4,0.435650379
5,0.454567886
6,0.450373203
7,0.44805593
8,0.45692402
9,0.449720495
10,0.454990584
11,0.444243708
12,0.457746479
13,0.464376268
14,0.470340581
15,0.454171153
16,0.466771654
17,0.458004997
18,0.45798426
19,0.452701397
20,0.448922273
21,0.470124754
22,0.470619167
23,0.465119408
24,0.47556631
25,0.471455977
26,0.47116025
27,0.46384444
28,0.47877829
29,0.476317596
30,0.478031899
31,0.465709024
32,0.489134438
33,0.490590184
34,0.50216857
35,0.484377303
36,0.491038088
37,0.494753834
38,0.490190379
39,0.480748393
40,0.481601652
41,0.48209009
42,0.476292784
43,0.478594794
44,0.486241854
45,0.480853196
46,0.494548845
47,0.477974684
48,0.484956915
49,0.480800714
50,0.480734633
51,0.465521488
52,0.475967832
