x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
14327.0,54.0,0.003769107279960913,2.59900064574995,132.0,239.0,382.0,577.0,720.0,552.0,655.0,697.0,507.0,751.0,480.0,886.0,632.0,765.0,868.0,566.0,683.0,1005.0,888.0,801.0,845.0,696.0
14605.0,90.0,0.0061622731941116055,2.5833257796841,98.0,143.0,302.0,755.0,645.0,699.0,511.0,750.0,587.0,830.0,691.0,810.0,699.0,683.0,996.0,672.0,921.0,624.0,773.0,881.0,743.0,792.0
14994.0,77.0,0.005135387488328665,2.5715795168728,118.0,196.0,347.0,760.0,557.0,634.0,552.0,811.0,461.0,919.0,584.0,805.0,700.0,800.0,1016.0,754.0,977.0,729.0,894.0,888.0,729.0,763.0
15274.0,81.0,0.005303129501113003,2.56530860896328,147.0,255.0,339.0,794.0,625.0,640.0,488.0,805.0,454.0,969.0,598.0,819.0,656.0,852.0,929.0,772.0,1016.0,700.0,1011.0,790.0,789.0,826.0
15413.0,93.0,0.0060338675144358655,2.54595658687442,141.0,233.0,407.0,814.0,625.0,559.0,570.0,718.0,730.0,684.0,624.0,877.0,700.0,655.0,965.0,702.0,963.0,805.0,959.0,896.0,878.0,908.0
15492.0,91.0,0.005873999483604441,2.53508170626789,110.0,160.0,297.0,747.0,621.0,656.0,552.0,839.0,753.0,654.0,661.0,1077.0,644.0,724.0,1007.0,691.0,1130.0,686.0,914.0,853.0,1006.0,710.0
15527.0,76.0,0.004894699555612804,2.52954793977582,129.0,186.0,335.0,690.0,607.0,687.0,522.0,873.0,650.0,715.0,595.0,1076.0,727.0,688.0,968.0,660.0,1098.0,672.0,1008.0,845.0,1117.0,679.0
15454.0,80.0,0.005176653293645658,2.53404505098021,146.0,204.0,373.0,799.0,600.0,638.0,547.0,754.0,720.0,738.0,562.0,1014.0,670.0,668.0,975.0,715.0,1065.0,630.0,1034.0,878.0,1049.0,675.0
14894.0,115.0,0.007721230025513629,2.53192036445992,125.0,253.0,329.0,680.0,573.0,625.0,484.0,672.0,659.0,688.0,574.0,904.0,604.0,626.0,945.0,713.0,1036.0,715.0,960.0,864.0,1093.0,772.0
14998.0,104.0,0.006934257901053474,2.52069348178669,109.0,140.0,273.0,724.0,591.0,662.0,492.0,921.0,566.0,684.0,1063.0,631.0,751.0,480.0,1020.0,848.0,895.0,666.0,1011.0,970.0,828.0,673.0
15127.0,110.0,0.007271765716929993,2.51226953626624,119.0,178.0,334.0,677.0,569.0,577.0,468.0,885.0,858.0,458.0,978.0,627.0,817.0,1010.0,551.0,743.0,891.0,1060.0,661.0,1126.0,812.0,728.0
15180.0,104.0,0.006851119894598155,2.5060348752683,150.0,212.0,359.0,761.0,554.0,615.0,961.0,455.0,791.0,482.0,930.0,611.0,775.0,1005.0,524.0,752.0,945.0,1019.0,722.0,1021.0,828.0,708.0
14678.0,122.0,0.008311759095244583,2.49311838858572,146.0,191.0,317.0,729.0,486.0,661.0,773.0,505.0,725.0,645.0,694.0,607.0,716.0,901.0,526.0,719.0,903.0,1009.0,910.0,856.0,875.0,784.0
14874.0,106.0,0.007126529514589216,2.47930746990753,101.0,156.0,278.0,712.0,657.0,574.0,845.0,558.0,768.0,698.0,773.0,696.0,766.0,931.0,658.0,980.0,586.0,854.0,866.0,838.0,865.0,714.0
14810.0,98.0,0.006617150573936529,2.46872353762182,143.0,166.0,336.0,677.0,695.0,587.0,687.0,495.0,788.0,538.0,718.0,680.0,808.0,878.0,765.0,955.0,662.0,852.0,854.0,896.0,851.0,779.0
14917.0,119.0,0.007977475363679024,2.45567762478454,145.0,214.0,318.0,761.0,706.0,588.0,771.0,434.0,857.0,546.0,946.0,636.0,663.0,955.0,655.0,988.0,634.0,873.0,921.0,769.0,814.0,723.0
14596.0,97.0,0.006645656344203892,2.45114438213009,140.0,179.0,353.0,731.0,652.0,555.0,695.0,429.0,835.0,560.0,835.0,653.0,595.0,952.0,587.0,909.0,659.0,955.0,857.0,861.0,793.0,811.0
14844.0,131.0,0.008825114524386958,2.4423388981993,103.0,156.0,323.0,669.0,660.0,620.0,767.0,711.0,623.0,616.0,926.0,634.0,642.0,915.0,656.0,1020.0,536.0,830.0,839.0,950.0,918.0,730.0
14683.0,122.0,0.00830892869304638,2.43499386311181,122.0,183.0,352.0,653.0,663.0,509.0,767.0,676.0,676.0,522.0,942.0,810.0,437.0,922.0,650.0,1068.0,631.0,921.0,693.0,912.0,864.0,710.0
14496.0,108.0,0.0074503311258278145,2.41995289546414,105.0,235.0,356.0,668.0,651.0,545.0,668.0,656.0,588.0,939.0,515.0,722.0,965.0,492.0,736.0,864.0,610.0,944.0,852.0,798.0,886.0,701.0
14284.0,144.0,0.01008120974516942,2.40823473325151,180.0,272.0,365.0,739.0,680.0,534.0,666.0,537.0,648.0,754.0,575.0,796.0,758.0,586.0,728.0,706.0,681.0,752.0,876.0,907.0,767.0,777.0
14395.0,188.0,0.013060090309135117,2.39286551344946,95.0,177.0,283.0,692.0,680.0,631.0,789.0,720.0,692.0,639.0,625.0,749.0,808.0,651.0,644.0,775.0,870.0,721.0,834.0,747.0,836.0,737.0
14121.0,163.0,0.011543091849019192,2.3849466478347,114.0,262.0,321.0,731.0,613.0,470.0,724.0,740.0,631.0,621.0,639.0,745.0,819.0,651.0,936.0,595.0,765.0,665.0,847.0,685.0,828.0,719.0
14166.0,192.0,0.013553578991952562,2.37147097051876,154.0,231.0,385.0,690.0,606.0,537.0,792.0,646.0,686.0,622.0,804.0,508.0,768.0,708.0,795.0,615.0,748.0,747.0,742.0,800.0,813.0,769.0
14336.0,196.0,0.013671875,2.36512164283045,172.0,222.0,372.0,724.0,651.0,794.0,555.0,706.0,608.0,733.0,598.0,650.0,770.0,623.0,783.0,649.0,750.0,866.0,716.0,845.0,833.0,716.0
14275.0,188.0,0.013169877408056042,2.3601642166054,97.0,161.0,294.0,689.0,644.0,820.0,536.0,750.0,624.0,838.0,605.0,629.0,799.0,658.0,749.0,609.0,835.0,855.0,712.0,712.0,874.0,785.0
14100.0,188.0,0.013333333333333334,2.35030563628567,150.0,228.0,363.0,686.0,589.0,705.0,473.0,691.0,549.0,776.0,622.0,703.0,760.0,684.0,822.0,622.0,800.0,850.0,785.0,624.0,869.0,749.0
13836.0,217.0,0.01568372361954322,2.34153262448895,155.0,230.0,367.0,688.0,665.0,667.0,515.0,739.0,612.0,826.0,673.0,454.0,757.0,597.0,860.0,768.0,627.0,744.0,820.0,718.0,627.0,727.0
12411.0,161.0,0.012972363226170333,2.33227448426572,125.0,232.0,336.0,624.0,534.0,618.0,503.0,630.0,711.0,521.0,539.0,729.0,458.0,814.0,532.0,615.0,565.0,691.0,698.0,698.0,643.0,595.0
12666.0,181.0,0.014290225801357966,2.31435117860194,117.0,196.0,286.0,637.0,616.0,687.0,536.0,546.0,752.0,570.0,638.0,726.0,525.0,700.0,647.0,547.0,621.0,693.0,639.0,685.0,669.0,633.0
12964.0,192.0,0.014810243751928418,2.30573936300405,117.0,206.0,293.0,610.0,589.0,679.0,627.0,553.0,672.0,549.0,585.0,744.0,652.0,623.0,681.0,595.0,776.0,685.0,700.0,650.0,730.0,648.0
12954.0,185.0,0.014281303072410066,2.29360002567804,145.0,209.0,339.0,701.0,634.0,653.0,590.0,776.0,536.0,560.0,651.0,777.0,559.0,844.0,509.0,769.0,508.0,720.0,558.0,749.0,594.0,573.0
