period,unrate_cps,unrate_fred
1989,0.0471079,5
1989.25,0.0443362,5.3
1989.5,0.0443132,5.3
1989.75,0.0443344,5.4
1990,0.0492479,5.2
1990.25,0.0443408,5.2
1990.5,0.0477526,5.9
1990.75,0.0530435,6.3
1991,0.0644838,6.8
1991.25,0.0585167,6.9
1991.5,0.057604,6.9
1991.75,0.0622435,7.3
1992,0.0695908,7.4
1992.25,0.065358,7.8
1992.5,0.061911,7.6
1992.75,0.0603738,7.4
1993,0.0648748,7
1993.25,0.057907,7
1993.5,0.0544716,6.7
1993.75,0.0531511,6.5
1994,0.0621,6.5
1994.25,0.0538109,6.1
1994.5,0.0500219,5.9
1994.75,0.0478011,5.5
1995,0.0516739,5.4
1995.25,0.0492343,5.6
1995.5,0.0480279,5.6
1995.75,0.048228,5.6
1996,0.053388,5.5
1996.25,0.047125,5.3
1996.5,0.0450391,5.2
1996.75,0.0457523,5.4
1997,0.0502005,5.2
1997.25,0.0450901,5
1997.5,0.0414373,4.9
1997.75,0.0399622,4.7
1998,0.0458823,4.7
1998.25,0.0401831,4.5
1998.5,0.03914,4.6
1998.75,0.037024,4.4
1999,0.0418105,4.2
1999.25,0.0398,4.3
1999.5,0.0360737,4.2
1999.75,0.0343364,4
2000,0.0391151,4
2000.25,0.0365378,4
2000.5,0.0344244,3.9
2000.75,0.0341368,3.9
2001,0.0423157,4.3
2001.25,0.0419394,4.5
2001.5,0.0418578,5
2001.75,0.0484485,5.7
2002,0.0543973,5.7
2002.25,0.0517927,5.8
2002.5,0.0473925,5.7
2002.75,0.0505092,6
2003,0.056852,5.9
2003.25,0.0555847,6.3
2003.5,0.0504174,6.1
2003.75,0.049069,5.7
2004,0.0537868,5.8
2004.25,0.0495815,5.6
2004.5,0.0451783,5.4
2004.75,0.0445994,5.4
2005,0.0484195,5.2
2005.25,0.0445034,5
2005.5,0.0422704,5
2005.75,0.0410728,4.9
2006,0.0432553,4.7
2006.25,0.0405996,4.6
2006.5,0.0380144,4.5
2006.75,0.0387963,4.4
2007,0.040567,4.4
2007.25,0.0397102,4.6
2007.5,0.03914,4.7
2007.75,0.0418916,5
2008,0.0463801,5.1
2008.25,0.0469772,5.6
2008.5,0.0503106,6.1
2008.75,0.0625401,7.3
2009,0.0812615,8.7
2009.25,0.0831877,9.5
2009.5,0.0808135,9.8
2009.75,0.0845757,9.9
2010,0.0906467,9.9
2010.25,0.0798416,9.4
2010.5,0.0775356,9.5
2010.75,0.0798254,9.3
2011,0.079233,9
2011.25,0.0765953,9.1
2011.5,0.0740631,9
2011.75,0.0706729,8.5
2012,0.07228,8.2
2012.25,0.0680017,8.2
2012.5,0.0636866,7.8
2012.75,0.0647114,7.9
2013,0.0650635,7.5
2013.25,0.0618539,7.5
2013.5,0.0579573,7.2
2013.75,0.0550909,6.7
2014,0.0583664,6.7
2014.25,0.0507899,6.1
2014.5,0.048192,5.9
2014.75,0.0463055,5.6
2015,0.049036,5.5
2015.25,0.0450023,5.3
2015.5,0.0419934,5
2015.75,0.0418723,5
2016,0.0447323,5
2016.25,0.0422161,4.9
2016.5,0.0416054,5
2016.75,0.0395992,4.7
2017,0.0400376,4.5
2017.25,0.0373964,4.3
2017.5,0.0353244,4.2
