x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
14327.0,54.0,0.003769107279960913,2.59900064574995,132.0,239.0,382.0,577.0,1927.0,3321.0,3514.0,2694.0,845.0,696.0
14605.0,90.0,0.0061622731941116055,2.5833257796841,98.0,143.0,302.0,755.0,1855.0,3668.0,3971.0,2278.0,743.0,792.0
14994.0,77.0,0.005135387488328665,2.5715795168728,118.0,196.0,347.0,760.0,1743.0,3580.0,4247.0,2511.0,729.0,763.0
15274.0,81.0,0.005303129501113003,2.56530860896328,147.0,255.0,339.0,794.0,1753.0,3645.0,4225.0,2501.0,789.0,826.0
15413.0,93.0,0.0060338675144358655,2.54595658687442,141.0,233.0,407.0,814.0,1754.0,3633.0,3985.0,2660.0,878.0,908.0
15492.0,91.0,0.005873999483604441,2.53508170626789,110.0,160.0,297.0,747.0,1829.0,3984.0,4196.0,2453.0,1006.0,710.0
15527.0,76.0,0.004894699555612804,2.52954793977582,129.0,186.0,335.0,690.0,1816.0,3909.0,4141.0,2525.0,1117.0,679.0
15454.0,80.0,0.005176653293645658,2.53404505098021,146.0,204.0,373.0,799.0,1785.0,3788.0,4093.0,2542.0,1049.0,675.0
14894.0,115.0,0.007721230025513629,2.53192036445992,125.0,253.0,329.0,680.0,1682.0,3497.0,3924.0,2539.0,1093.0,772.0
14998.0,104.0,0.006934257901053474,2.52069348178669,109.0,140.0,273.0,724.0,1745.0,3865.0,3994.0,2647.0,828.0,673.0
15127.0,110.0,0.007271765716929993,2.51226953626624,119.0,178.0,334.0,677.0,1614.0,3806.0,4012.0,2847.0,812.0,728.0
15180.0,104.0,0.006851119894598155,2.5060348752683,150.0,212.0,359.0,761.0,2130.0,3269.0,4001.0,2762.0,828.0,708.0
14678.0,122.0,0.008311759095244583,2.49311838858572,146.0,191.0,317.0,729.0,1920.0,3176.0,3765.0,2775.0,875.0,784.0
14874.0,106.0,0.007126529514589216,2.47930746990753,101.0,156.0,278.0,712.0,2076.0,3493.0,3921.0,2558.0,865.0,714.0
14810.0,98.0,0.006617150573936529,2.46872353762182,143.0,166.0,336.0,677.0,1969.0,3219.0,4068.0,2602.0,851.0,779.0
14917.0,119.0,0.007977475363679024,2.45567762478454,145.0,214.0,318.0,761.0,2065.0,3419.0,3895.0,2563.0,814.0,723.0
14596.0,97.0,0.006645656344203892,2.45114438213009,140.0,179.0,353.0,731.0,1902.0,3312.0,3702.0,2673.0,793.0,811.0
14844.0,131.0,0.008825114524386958,2.4423388981993,103.0,156.0,323.0,669.0,2047.0,3510.0,3769.0,2619.0,918.0,730.0
14683.0,122.0,0.00830892869304638,2.43499386311181,122.0,183.0,352.0,653.0,1939.0,3626.0,3708.0,2526.0,864.0,710.0
14496.0,108.0,0.0074503311258278145,2.41995289546414,105.0,235.0,356.0,668.0,1864.0,3420.0,3667.0,2594.0,886.0,701.0
14284.0,144.0,0.01008120974516942,2.40823473325151,180.0,272.0,365.0,739.0,1880.0,3310.0,3459.0,2535.0,767.0,777.0
14395.0,188.0,0.013060090309135117,2.39286551344946,95.0,177.0,283.0,692.0,2100.0,3425.0,3748.0,2302.0,836.0,737.0
14121.0,163.0,0.011543091849019192,2.3849466478347,114.0,262.0,321.0,731.0,1807.0,3376.0,3766.0,2197.0,828.0,719.0
14166.0,192.0,0.013553578991952562,2.37147097051876,154.0,231.0,385.0,690.0,1935.0,3266.0,3634.0,2289.0,813.0,769.0
14336.0,196.0,0.013671875,2.36512164283045,172.0,222.0,372.0,724.0,2000.0,3295.0,3575.0,2427.0,833.0,716.0
14275.0,188.0,0.013169877408056042,2.3601642166054,97.0,161.0,294.0,689.0,2000.0,3446.0,3650.0,2279.0,874.0,785.0
14100.0,188.0,0.013333333333333334,2.35030563628567,150.0,228.0,363.0,686.0,1767.0,3341.0,3688.0,2259.0,869.0,749.0
13836.0,217.0,0.01568372361954322,2.34153262448895,155.0,230.0,367.0,688.0,1847.0,3304.0,3609.0,2282.0,627.0,727.0
12411.0,161.0,0.012972363226170333,2.33227448426572,125.0,232.0,336.0,624.0,1655.0,3130.0,2984.0,2087.0,643.0,595.0
12666.0,181.0,0.014290225801357966,2.31435117860194,117.0,196.0,286.0,637.0,1839.0,3232.0,3040.0,2017.0,669.0,633.0
12964.0,192.0,0.014810243751928418,2.30573936300405,117.0,206.0,293.0,610.0,1895.0,3103.0,3327.0,2035.0,730.0,648.0
12954.0,185.0,0.014281303072410066,2.29360002567804,145.0,209.0,339.0,701.0,1877.0,3300.0,3189.0,2027.0,594.0,573.0
12617.0,187.0,0.014821272885789015,2.2827049473747,134.0,213.0,326.0,676.0,1945.0,3032.0,3057.0,2060.0,594.0,580.0
13210.0,204.0,0.015442846328538986,2.26818433849422,112.0,148.0,314.0,640.0,2116.0,3329.0,3303.0,2002.0,622.0,624.0
